email,ticket_id,issue_type,satisfaction_rating
user_0f6c3f90@gmail.com,TKT-000316,Late Delivery,4
user_47b6bc41@gmail.com,TKT-000317,Late Delivery,3
user_a56d3f96@gmail.com,TKT-000318,Late Delivery,5
user_9aadd067@gmail.com,TKT-000319,Damaged Item,4
user_baafbc5a@gmail.com,TKT-000320,Damaged Item,4
user_b15f238f@gmail.com,TKT-000321,Late Delivery,2
user_d6bcd5bc@gmail.com,TKT-000322,Damaged Item,4
user_b77a6fda@gmail.com,TKT-000323,Damaged Item,4
user_a0ec7257@gmail.com,TKT-000324,Damaged Item,3
user_12d43aa0@gmail.com,TKT-000325,Late Delivery,3
user_cdd96e63@gmail.com,TKT-000326,Damaged Item,5
user_6e018711@gmail.com,TKT-000327,Damaged Item,5
user_f68ec680@gmail.com,TKT-000328,Damaged Item,4
user_0e1437d1@gmail.com,TKT-000329,Damaged Item,1
user_a80befbb@gmail.com,TKT-000330,Late Delivery,5
user_c5ae5174@gmail.com,TKT-000331,Damaged Item,2
user_a8fc0eb2@gmail.com,TKT-000332,Damaged Item,5
user_f64882de@gmail.com,TKT-000333,Late Delivery,4
user_61f08118@gmail.com,TKT-000334,Late Delivery,5
user_42e1bea9@gmail.com,TKT-000335,Late Delivery,3
user_5c008e6d@gmail.com,TKT-000336,Late Delivery,5
user_4a4a9d9c@gmail.com,TKT-000337,Damaged Item,1
user_f0cd91b4@gmail.com,TKT-000338,Damaged Item,2
user_9d4d90e4@gmail.com,TKT-000339,Late Delivery,1
user_5010e263@gmail.com,TKT-000340,Late Delivery,1
user_a338f846@gmail.com,TKT-000341,Late Delivery,3
user_7517f4a8@gmail.com,TKT-000342,Damaged Item,3
user_c54c21c3@gmail.com,TKT-000343,Late Delivery,1
user_7bb13d6b@gmail.com,TKT-000344,Damaged Item,1
user_88dd4a28@gmail.com,TKT-000345,Late Delivery,4
user_866755e2@gmail.com,TKT-000346,Damaged Item,4
user_98a2f388@gmail.com,TKT-000347,Late Delivery,2
user_10e3060e@gmail.com,TKT-000348,Late Delivery,4
user_9c585dbe@gmail.com,TKT-000349,Late Delivery,4
user_b6d69bfc@gmail.com,TKT-000350,Damaged Item,1
user_ac2a428e@gmail.com,TKT-000351,Damaged Item,3
user_bec155d3@gmail.com,TKT-000352,Late Delivery,2
user_6c45a935@gmail.com,TKT-000353,Late Delivery,4
user_3ff9132b@gmail.com,TKT-000354,Late Delivery,3
user_95925cca@gmail.com,TKT-000355,Damaged Item,4
user_4dea07b5@gmail.com,TKT-000356,Late Delivery,5
user_9b6a7355@gmail.com,TKT-000357,Late Delivery,5
user_9e4b9c10@gmail.com,TKT-000358,Late Delivery,2
user_0c039ec3@gmail.com,TKT-000359,Damaged Item,5
user_80d5413a@gmail.com,TKT-000360,Late Delivery,3
user_ecf41fa4@gmail.com,TKT-000361,Late Delivery,5
user_3a228c0c@gmail.com,TKT-000362,Late Delivery,4
user_da684931@gmail.com,TKT-000363,Late Delivery,2
user_66b3abdc@gmail.com,TKT-000364,Late Delivery,3
user_e975aba1@gmail.com,TKT-000365,Late Delivery,2
user_26c38dc3@gmail.com,TKT-000366,Damaged Item,4
user_188e5084@gmail.com,TKT-000367,Late Delivery,1
user_937c0e5e@gmail.com,TKT-000368,Late Delivery,1
user_c179057f@gmail.com,TKT-000369,Damaged Item,4
user_5d72c287@gmail.com,TKT-000370,Late Delivery,4
user_db400fda@gmail.com,TKT-000371,Late Delivery,1
user_b3e1a4c3@gmail.com,TKT-000372,Damaged Item,4
user_1d84ae04@gmail.com,TKT-000373,Late Delivery,5
user_9c729877@gmail.com,TKT-000374,Late Delivery,4
user_59d83a6a@gmail.com,TKT-000375,Late Delivery,5
user_6e6623d8@gmail.com,TKT-000376,Late Delivery,1
user_014fa2f3@gmail.com,TKT-000377,Damaged Item,3
user_f324fb2f@gmail.com,TKT-000378,Late Delivery,5
user_f8f9ae61@gmail.com,TKT-000379,Damaged Item,3
user_24fb5923@gmail.com,TKT-000380,Damaged Item,1
user_185a86a2@gmail.com,TKT-000381,Damaged Item,4
user_ef50a01a@gmail.com,TKT-000382,Late Delivery,4
user_7a729829@gmail.com,TKT-000383,Damaged Item,3
user_f6884f30@gmail.com,TKT-000384,Late Delivery,4
user_aba8a07d@gmail.com,TKT-000385,Late Delivery,4
user_7973a6ba@gmail.com,TKT-000386,Damaged Item,4
user_3ac72367@gmail.com,TKT-000387,Damaged Item,4
user_bcb5ac80@gmail.com,TKT-000388,Late Delivery,1
user_95834cf2@gmail.com,TKT-000389,Damaged Item,5
user_ac7dae85@gmail.com,TKT-000390,Late Delivery,5
user_eafdb069@gmail.com,TKT-000391,Late Delivery,3
user_d29332b0@gmail.com,TKT-000392,Damaged Item,1
user_9e5d0775@gmail.com,TKT-000393,Damaged Item,4
user_e8c460b5@gmail.com,TKT-000394,Damaged Item,1
user_bdd6c2ee@gmail.com,TKT-000395,Late Delivery,5
user_db03f5d6@gmail.com,TKT-000396,Late Delivery,1
user_4014011c@gmail.com,TKT-000397,Damaged Item,2
user_3db8d7bf@gmail.com,TKT-000398,Damaged Item,1
user_bfcbad74@gmail.com,TKT-000399,Damaged Item,2
user_3aba191a@gmail.com,TKT-000400,Damaged Item,2
user_63644376@gmail.com,TKT-000401,Damaged Item,5
user_c43b2b30@gmail.com,TKT-000402,Late Delivery,2
user_626435c5@gmail.com,TKT-000403,Damaged Item,5
user_801f745b@gmail.com,TKT-000404,Late Delivery,2
user_1ee3b4e6@gmail.com,TKT-000405,Damaged Item,5
user_20deda6c@gmail.com,TKT-000406,Late Delivery,2
user_b9e89508@gmail.com,TKT-000407,Late Delivery,5
user_0e78a1b6@gmail.com,TKT-000408,Late Delivery,4
user_f94cd464@gmail.com,TKT-000409,Damaged Item,3
user_a8d64e57@gmail.com,TKT-000410,Damaged Item,2
user_58a0799f@gmail.com,TKT-000411,Late Delivery,2
user_e349179d@gmail.com,TKT-000412,Damaged Item,5
user_56e80e4b@gmail.com,TKT-000413,Late Delivery,2
user_d1868c53@gmail.com,TKT-000414,Damaged Item,2
user_fd9232f8@gmail.com,TKT-000415,Late Delivery,5
user_1f0b3099@gmail.com,TKT-000416,Damaged Item,1
user_43a54926@gmail.com,TKT-000417,Damaged Item,4
user_c5cb5542@gmail.com,TKT-000418,Late Delivery,5
user_2ac352a6@gmail.com,TKT-000419,Late Delivery,3
user_ef5a9aab@gmail.com,TKT-000420,Damaged Item,2
user_8024c342@gmail.com,TKT-000421,Late Delivery,1
user_9164e11c@gmail.com,TKT-000422,Damaged Item,4
user_6b2d11b6@gmail.com,TKT-000423,Late Delivery,1
user_3bc4a58a@gmail.com,TKT-000424,Damaged Item,2
user_f8985f28@gmail.com,TKT-000425,Late Delivery,3
user_23686693@gmail.com,TKT-000426,Late Delivery,1
user_f96f0937@gmail.com,TKT-000427,Late Delivery,2
user_d8ce74aa@gmail.com,TKT-000428,Late Delivery,4
user_16f05451@gmail.com,TKT-000429,Late Delivery,1
user_21ee1b03@gmail.com,TKT-000430,Late Delivery,1
user_d3e23b4a@gmail.com,TKT-000431,Late Delivery,5
user_26ffa3cf@gmail.com,TKT-000432,Late Delivery,4
user_b63efef4@gmail.com,TKT-000433,Damaged Item,5
user_52c43613@gmail.com,TKT-000434,Late Delivery,3
user_149a9fcc@gmail.com,TKT-000435,Damaged Item,3
user_6fff1328@gmail.com,TKT-000436,Damaged Item,4
user_831a032a@gmail.com,TKT-000437,Damaged Item,4
user_862f2b5f@gmail.com,TKT-000438,Damaged Item,5
user_e76c6b66@gmail.com,TKT-000439,Late Delivery,1
user_4f6e07ca@gmail.com,TKT-000440,Damaged Item,4
user_a9634ba7@gmail.com,TKT-000441,Damaged Item,5
user_da835ae3@gmail.com,TKT-000442,Damaged Item,3
user_d8aafab8@gmail.com,TKT-000443,Damaged Item,4
user_b4cbbdb2@gmail.com,TKT-000444,Late Delivery,5
user_01c92cf6@gmail.com,TKT-000445,Late Delivery,5
user_7dc0dfe8@gmail.com,TKT-000446,Late Delivery,3
user_35e9d2ca@gmail.com,TKT-000447,Late Delivery,3
user_618c92fd@gmail.com,TKT-000448,Damaged Item,2
user_2d6b7f96@gmail.com,TKT-000449,Late Delivery,3
user_569bf09f@gmail.com,TKT-000450,Damaged Item,2
user_88914cd8@gmail.com,TKT-000451,Damaged Item,1
user_a5c565a5@gmail.com,TKT-000452,Damaged Item,2
user_45be6816@gmail.com,TKT-000453,Damaged Item,2
user_188b4725@gmail.com,TKT-000454,Damaged Item,3
user_f3299add@gmail.com,TKT-000455,Late Delivery,2
user_ae13e9f7@gmail.com,TKT-000456,Damaged Item,5
user_d2ebf7e1@gmail.com,TKT-000457,Late Delivery,5
